target,action,timestamp,status
instagram,follow,2025-05-18T17:27:33.517008,success
cristiano,unfollow,2025-05-18T17:27:46.644441,success
leomessi,unfollow,2025-05-18T17:28:01.199386,success
therock,unfollow,2025-05-18T17:28:11.549257,success
kyliejenner,follow,2025-05-18T17:28:22.359391,success
selenagomez,follow,2025-05-18T17:28:31.272959,success
kimkardashian,follow,2025-05-18T17:28:40.937446,success
beyonce,unfollow,2025-05-18T17:28:50.633530,success
arianagrande,unfollow,2025-05-18T17:28:57.266887,success
taylorswift,follow,2025-05-18T17:29:07.524097,success
neymarjr,unfollow,2025-05-18T17:29:15.376195,success
nickiminaj,unfollow,2025-05-18T17:29:25.949886,success
justinbieber,follow,2025-05-18T17:29:36.313859,success
kendalljenner,follow,2025-05-18T17:29:47.680858,success
natgeo,follow,2025-05-18T17:29:54.652608,success
virat.kohli,follow,2025-05-18T17:30:04.573226,success
zendaya,follow,2025-05-18T17:30:15.533562,success
kevinhart4real,unfollow,2025-05-18T17:30:27.136734,success
theellenshow,unfollow,2025-05-18T17:30:38.543381,success
realmadrid,unfollow,2025-05-18T17:30:46.575495,success
